formula,GGA_Eg,pred_Eg,pred_Eg_std,predicted_non_metal,is_false_metal_rescued,formation_energy_per_atom,tolerance_factor,pb_fraction
AlSnO3,2.0312,3.9304000000000174,1.238158891257497,1,0,-2.449244383,0.633449825,0.0
AlTlO3,0.7377,2.7662599999999955,1.5483061106900018,1,0,-2.199305616,0.598797209,0.0
AlVO3,1.5969,3.1703399999999995,1.541835816291735,1,0,-2.966620782,0.670711579,0.0
AlWN3,1.5621,2.6571499999999975,1.4385189701564607,1,0,-0.650551424,0.684795159,0.0
AlWO3,1.4909,3.095280000000002,1.6095529570660314,1,0,-2.168402716,0.651548391,0.0
As2PHO6,4.2606,4.1606000000000005,1.0596630528616173,1,0,-1.907410159,0.85110725,0.0
AsAuO3,0.3768,2.2807699999999973,1.019052430986748,1,0,-1.086721795,0.474808164,0.0
AsCF3,3.4402,3.3402,1.2078986687218423,1,0,-1.506964082,1.513872907,0.0
AuNCl3,0.0,2.3742800000000033,0.8181875589374352,1,1,0.369438868,0.605364798,0.0
BAuO3,0.0,2.037890000000001,1.1770081978898863,1,1,-0.29083713,0.524830366,0.0
BIrO3,0.0,1.8468600000000008,1.280455442567215,1,1,-0.30092869,0.567725156,0.0
BMoN3,1.0443,2.747860000000001,1.2962993560131089,1,0,-0.441714857,0.596729137,0.0
BOsO3,0.0,1.8213400000000013,1.2903996297271605,1,1,-0.233619764,0.566363705,0.0
BPbO3,0.0,1.8526399999999998,1.0640046195388422,1,1,-1.071189614,0.489056232,0.2
BPdO3,0.0,2.4740300000000004,1.1031747862872867,1,1,-0.566107646,0.552317237,0.0
BPtO3,0.0,0.0,,0,0,-0.32957449,0.546875688,0.0
BSbO3,3.6455,3.6968000000000134,1.239611455255236,1,0,-2.236874357,0.546698298,0.0
BTeO3,0.0,2.30553,1.1068742788139951,1,1,-0.831342972,0.533729638,0.0
Ba2AgIO6,0.1267,2.684139999999993,0.8464353846573289,1,0,-1.886868489,0.864241621,0.0
Ba2BiIrO6,0.0,1.5022299999999997,1.0662093495650842,1,1,-2.130508686,0.883883476,0.0
Ba2BiRuO6,0.0,1.7296699999999996,1.1697110930054504,1,1,-2.201506043,0.884889032,0.0
Ba2BiSbO6,1.9256,2.7541199999999915,1.2284657608578293,1,0,-2.462542911,0.87789781,0.0
Ba2CaBiO6,0.0,1.8505600000000009,0.9751682861947464,1,1,-2.452671598,0.811974312,0.0
Ba2CaIrO6,0.0,1.800420000000001,1.1041930644592897,1,1,-2.547150007,0.857386746,0.0
Ba2CaMoO6,2.2862,3.333159999999999,0.8658576756026357,1,0,-2.944825321,0.885896878,0.0
Ba2CaNbO6,0.0,2.1919500000000025,1.0776073716804278,1,1,-3.097601051,0.844167126,0.0
Ba2CaOsO6,0.0,1.812420000000003,1.2135608116612868,1,1,-2.682426049,0.895071875,0.0
Ba2CaReO6,0.0,1.9185000000000036,1.1847900446914645,1,1,-2.925819397,0.873952201,0.0
Ba2CaTeO6,3.0122,3.5822199999999977,0.9722448619560802,1,0,-2.796705407,0.891992499,0.0
Ba2CaUO6,2.1979,3.3114199999999956,1.1933479725545282,1,0,-3.560227783,0.858518167,0.0
Ba2CaWO6,3.3243,3.674260000000001,0.9222225069905847,1,0,-3.033532304,0.883883476,0.0
Ba2CdMoO6,2.5833,3.2561800000000014,0.8850952534049663,1,0,-2.516779631,0.896103064,0.0
Ba2CdOsO6,0.0,1.6624100000000015,1.1636118948773269,1,1,-2.220332178,0.905491804,0.0
Ba2CdReO6,0.0,1.675290000000002,1.1345383933124502,1,1,-2.477151235,0.883883476,0.0
Ba2CeNbO6,0.0,2.1597700000000035,1.0489266404758728,1,1,-3.382777996,0.873952201,0.0
